strain,sex,id,replicate,drug,dose,dosecode,cells,viability
129S1/SvImJ,m,DOX_53,1,doxorubicin,0.137,B,monocytes,98.82
129S1/SvImJ,m,DOX_54,2,doxorubicin,0.137,B,monocytes,134.35
129S1/SvImJ,m,DOX_55,3,doxorubicin,0.137,B,monocytes,94.12
129S1/SvImJ,m,DOX_56,4,doxorubicin,0.137,B,monocytes,87.76
129S1/SvImJ,m,DOX_61,1,doxorubicin,1.235,C,monocytes,72.00
129S1/SvImJ,m,DOX_62,2,doxorubicin,1.235,C,monocytes,117.65
129S1/SvImJ,m,DOX_63,3,doxorubicin,1.235,C,monocytes,74.35
129S1/SvImJ,m,DOX_64,4,doxorubicin,1.235,C,monocytes,45.88
129S1/SvImJ,m,DOX_69,1,doxorubicin,11.111,D,monocytes,47.76
129S1/SvImJ,m,DOX_70,2,doxorubicin,11.111,D,monocytes,52.94
129S1/SvImJ,m,DOX_71,3,doxorubicin,11.111,D,monocytes,40.94
129S1/SvImJ,m,DOX_72,4,doxorubicin,11.111,D,monocytes,32.00
129S1/SvImJ,m,DOX_77,1,doxorubicin,100,E,monocytes,6.47
129S1/SvImJ,m,DOX_78,2,doxorubicin,100,E,monocytes,11.58
129S1/SvImJ,m,DOX_79,3,doxorubicin,100,E,monocytes,5.34
129S1/SvImJ,m,DOX_80,4,doxorubicin,100,E,monocytes,10.82
129S1/SvImJ,m,DOX_81,1,doxorubicin,0,ctrl,"T cells",95.38
129S1/SvImJ,m,DOX_82,2,doxorubicin,0,ctrl,"T cells",91.70
129S1/SvImJ,m,DOX_83,3,doxorubicin,0,ctrl,"T cells",108.80
129S1/SvImJ,m,DOX_84,4,doxorubicin,0,ctrl,"T cells",104.12
129S1/SvImJ,m,DOX_89,1,doxorubicin,0.046,A,"T cells",100.44
129S1/SvImJ,m,DOX_9,1,doxorubicin,0.046,A,"B cells",121.21
129S1/SvImJ,m,DOX_90,2,doxorubicin,0.046,A,"T cells",101.20
129S1/SvImJ,m,DOX_91,3,doxorubicin,0.046,A,"T cells",103.86
129S1/SvImJ,m,DOX_92,4,doxorubicin,0.046,A,"T cells",112.10
129S1/SvImJ,m,DOX_93,1,doxorubicin,0.137,B,"T cells",100.82
129S1/SvImJ,m,DOX_94,2,doxorubicin,0.137,B,"T cells",94.87
129S1/SvImJ,m,DOX_95,3,doxorubicin,0.137,B,"T cells",100.19
129S1/SvImJ,m,DOX_96,4,doxorubicin,0.137,B,"T cells",108.80
129S1/SvImJ,m,IDA_1,1,idarubicin,0,ctrl,"B cells",59.16
129S1/SvImJ,m,IDA_10,2,idarubicin,0.046,A,"B cells",134.38
129S1/SvImJ,m,IDA_101,1,idarubicin,1.235,C,"T cells",99.50
129S1/SvImJ,m,IDA_102,2,idarubicin,1.235,C,"T cells",99.97
129S1/SvImJ,m,IDA_103,3,idarubicin,1.235,C,"T cells",105.06
129S1/SvImJ,m,IDA_104,4,idarubicin,1.235,C,"T cells",107.55
129S1/SvImJ,m,IDA_109,1,idarubicin,11.111,D,"T cells",49.39
129S1/SvImJ,m,IDA_11,3,idarubicin,0.046,A,"B cells",227.62
129S1/SvImJ,m,IDA_110,2,idarubicin,11.111,D,"T cells",81.85
129S1/SvImJ,m,IDA_111,3,idarubicin,11.111,D,"T cells",58.40
129S1/SvImJ,m,IDA_112,4,idarubicin,11.111,D,"T cells",103.41
129S1/SvImJ,m,IDA_117,1,idarubicin,100,E,"T cells",1.95
129S1/SvImJ,m,IDA_118,2,idarubicin,100,E,"T cells",0.71
129S1/SvImJ,m,IDA_119,3,idarubicin,100,E,"T cells",1.94
129S1/SvImJ,m,IDA_12,4,idarubicin,0.046,A,"B cells",146.91
129S1/SvImJ,m,IDA_120,4,idarubicin,100,E,"T cells",1.49
129S1/SvImJ,m,IDA_13,1,idarubicin,0.137,B,"B cells",63.08
129S1/SvImJ,m,IDA_14,2,idarubicin,0.137,B,"B cells",143.00
129S1/SvImJ,m,IDA_15,3,idarubicin,0.137,B,"B cells",259.75
129S1/SvImJ,m,IDA_16,4,idarubicin,0.137,B,"B cells",130.46
129S1/SvImJ,m,IDA_2,2,idarubicin,0,ctrl,"B cells",81.10
129S1/SvImJ,m,IDA_21,1,idarubicin,1.235,C,"B cells",21.86
129S1/SvImJ,m,IDA_22,2,idarubicin,1.235,C,"B cells",105.00
129S1/SvImJ,m,IDA_23,3,idarubicin,1.235,C,"B cells",143.78
129S1/SvImJ,m,IDA_24,4,idarubicin,1.235,C,"B cells",90.11
129S1/SvImJ,m,IDA_29,1,idarubicin,11.111,D,"B cells",8.34
129S1/SvImJ,m,IDA_3,3,idarubicin,0,ctrl,"B cells",115.96
129S1/SvImJ,m,IDA_30,2,idarubicin,11.111,D,"B cells",18.96
129S1/SvImJ,m,IDA_31,3,idarubicin,11.111,D,"B cells",15.63
129S1/SvImJ,m,IDA_32,4,idarubicin,11.111,D,"B cells",24.56
129S1/SvImJ,m,IDA_37,1,idarubicin,100,E,"B cells",0.74
129S1/SvImJ,m,IDA_38,2,idarubicin,100,E,"B cells",0.59
129S1/SvImJ,m,IDA_39,3,idarubicin,100,E,"B cells",0.86
129S1/SvImJ,m,IDA_4,4,idarubicin,0,ctrl,"B cells",143.78
129S1/SvImJ,m,IDA_40,4,idarubicin,100,E,"B cells",1.10
129S1/SvImJ,m,IDA_41,1,idarubicin,0,ctrl,monocytes,94.50
129S1/SvImJ,m,IDA_42,2,idarubicin,0,ctrl,monocytes,116.51
129S1/SvImJ,m,IDA_43,3,idarubicin,0,ctrl,monocytes,71.97
129S1/SvImJ,m,IDA_44,4,idarubicin,0,ctrl,monocytes,117.03
129S1/SvImJ,m,IDA_49,1,idarubicin,0.046,A,monocytes,70.22
129S1/SvImJ,m,IDA_50,2,idarubicin,0.046,A,monocytes,136.77
129S1/SvImJ,m,IDA_51,3,idarubicin,0.046,A,monocytes,105.68
129S1/SvImJ,m,IDA_52,4,idarubicin,0.046,A,monocytes,109.34
129S1/SvImJ,m,IDA_53,1,idarubicin,0.137,B,monocytes,91.18
129S1/SvImJ,m,IDA_54,2,idarubicin,0.137,B,monocytes,146.72
129S1/SvImJ,m,IDA_55,3,idarubicin,0.137,B,monocytes,111.79
129S1/SvImJ,m,IDA_56,4,idarubicin,0.137,B,monocytes,92.75
129S1/SvImJ,m,IDA_61,1,idarubicin,1.235,C,monocytes,56.94
129S1/SvImJ,m,IDA_62,2,idarubicin,1.235,C,monocytes,96.42
129S1/SvImJ,m,IDA_63,3,idarubicin,1.235,C,monocytes,131.00
129S1/SvImJ,m,IDA_64,4,idarubicin,1.235,C,monocytes,78.60
129S1/SvImJ,m,IDA_69,1,idarubicin,11.111,D,monocytes,19.21
129S1/SvImJ,m,IDA_70,2,idarubicin,11.111,D,monocytes,47.34
129S1/SvImJ,m,IDA_71,3,idarubicin,11.111,D,monocytes,25.33
129S1/SvImJ,m,IDA_72,4,idarubicin,11.111,D,monocytes,34.41
129S1/SvImJ,m,IDA_77,1,idarubicin,100,E,monocytes,5.07
129S1/SvImJ,m,IDA_78,2,idarubicin,100,E,monocytes,6.59
129S1/SvImJ,m,IDA_79,3,idarubicin,100,E,monocytes,11.46
129S1/SvImJ,m,IDA_80,4,idarubicin,100,E,monocytes,2.36
129S1/SvImJ,m,IDA_81,1,idarubicin,0,ctrl,"T cells",91.80
129S1/SvImJ,m,IDA_82,2,idarubicin,0,ctrl,"T cells",99.02
129S1/SvImJ,m,IDA_83,3,idarubicin,0,ctrl,"T cells",101.15
129S1/SvImJ,m,IDA_84,4,idarubicin,0,ctrl,"T cells",108.02
129S1/SvImJ,m,IDA_89,1,idarubicin,0.046,A,"T cells",95.00
129S1/SvImJ,m,IDA_9,1,idarubicin,0.046,A,"B cells",50.54
129S1/SvImJ,m,IDA_90,2,idarubicin,0.046,A,"T cells",95.11
129S1/SvImJ,m,IDA_91,3,idarubicin,0.046,A,"T cells",107.91
129S1/SvImJ,m,IDA_92,4,idarubicin,0.046,A,"T cells",106.72
129S1/SvImJ,m,IDA_93,1,idarubicin,0.137,B,"T cells",99.62
129S1/SvImJ,m,IDA_94,2,idarubicin,0.137,B,"T cells",98.43
129S1/SvImJ,m,IDA_95,3,idarubicin,0.137,B,"T cells",110.04
129S1/SvImJ,m,IDA_96,4,idarubicin,0.137,B,"T cells",109.45
129S1/SvImJ,m,SEL_1,1,selumetinib,0,ctrl,"B cells",96.27
129S1/SvImJ,m,SEL_10,2,selumetinib,0.046,A,"B cells",97.94
129S1/SvImJ,m,SEL_101,1,selumetinib,1.235,C,"T cells",102.82
129S1/SvImJ,m,SEL_102,2,selumetinib,1.235,C,"T cells",102.39
129S1/SvImJ,m,SEL_103,3,selumetinib,1.235,C,"T cells",105.19
129S1/SvImJ,m,SEL_104,4,selumetinib,1.235,C,"T cells",106.48
129S1/SvImJ,m,SEL_109,1,selumetinib,11.111,D,"T cells",103.90
129S1/SvImJ,m,SEL_11,3,selumetinib,0.046,A,"B cells",99.97
129S1/SvImJ,m,SEL_110,2,selumetinib,11.111,D,"T cells",106.37
129S1/SvImJ,m,SEL_111,3,selumetinib,11.111,D,"T cells",105.08
129S1/SvImJ,m,SEL_112,4,selumetinib,11.111,D,"T cells",106.59
129S1/SvImJ,m,SEL_117,1,selumetinib,100,E,"T cells",103.25
129S1/SvImJ,m,SEL_118,2,selumetinib,100,E,"T cells",103.90
129S1/SvImJ,m,SEL_119,3,selumetinib,100,E,"T cells",103.90
129S1/SvImJ,m,SEL_12,4,selumetinib,0.046,A,"B cells",111.18
129S1/SvImJ,m,SEL_120,4,selumetinib,100,E,"T cells",104.87
129S1/SvImJ,m,SEL_13,1,selumetinib,0.137,B,"B cells",94.96
129S1/SvImJ,m,SEL_14,2,selumetinib,0.137,B,"B cells",98.54
129S1/SvImJ,m,SEL_15,3,selumetinib,0.137,B,"B cells",115.12
129S1/SvImJ,m,SEL_16,4,selumetinib,0.137,B,"B cells",108.68
129S1/SvImJ,m,SEL_2,2,selumetinib,0,ctrl,"B cells",96.39
129S1/SvImJ,m,SEL_21,1,selumetinib,1.235,C,"B cells",97.70
129S1/SvImJ,m,SEL_22,2,selumetinib,1.235,C,"B cells",109.16
129S1/SvImJ,m,SEL_23,3,selumetinib,1.235,C,"B cells",105.10
129S1/SvImJ,m,SEL_24,4,selumetinib,1.235,C,"B cells",110.71
129S1/SvImJ,m,SEL_29,1,selumetinib,11.111,D,"B cells",97.70
129S1/SvImJ,m,SEL_3,3,selumetinib,0,ctrl,"B cells",103.31
129S1/SvImJ,m,SEL_30,2,selumetinib,11.111,D,"B cells",99.85
129S1/SvImJ,m,SEL_31,3,selumetinib,11.111,D,"B cells",103.07
129S1/SvImJ,m,SEL_32,4,selumetinib,11.111,D,"B cells",104.38
129S1/SvImJ,m,SEL_37,1,selumetinib,100,E,"B cells",97.46
129S1/SvImJ,m,SEL_38,2,selumetinib,100,E,"B cells",96.15
129S1/SvImJ,m,SEL_39,3,selumetinib,100,E,"B cells",106.05
129S1/SvImJ,m,SEL_4,4,selumetinib,0,ctrl,"B cells",104.03
129S1/SvImJ,m,SEL_40,4,selumetinib,100,E,"B cells",110.23
129S1/SvImJ,m,SEL_41,1,selumetinib,0,ctrl,monocytes,91.19
129S1/SvImJ,m,SEL_42,2,selumetinib,0,ctrl,monocytes,84.38
129S1/SvImJ,m,SEL_43,3,selumetinib,0,ctrl,monocytes,99.43
129S1/SvImJ,m,SEL_44,4,selumetinib,0,ctrl,monocytes,125.00
129S1/SvImJ,m,SEL_49,1,selumetinib,0.046,A,monocytes,110.23
129S1/SvImJ,m,SEL_50,2,selumetinib,0.046,A,monocytes,90.34
129S1/SvImJ,m,SEL_51,3,selumetinib,0.046,A,monocytes,114.35
129S1/SvImJ,m,SEL_52,4,selumetinib,0.046,A,monocytes,113.21
129S1/SvImJ,m,SEL_53,1,selumetinib,0.137,B,monocytes,108.52
129S1/SvImJ,m,SEL_54,2,selumetinib,0.137,B,monocytes,78.98
129S1/SvImJ,m,SEL_55,3,selumetinib,0.137,B,monocytes,0.00
129S1/SvImJ,m,SEL_56,4,selumetinib,0.137,B,monocytes,101.42
129S1/SvImJ,m,SEL_61,1,selumetinib,1.235,C,monocytes,82.10
129S1/SvImJ,m,SEL_62,2,selumetinib,1.235,C,monocytes,142.05
129S1/SvImJ,m,SEL_63,3,selumetinib,1.235,C,monocytes,142.05
129S1/SvImJ,m,SEL_64,4,selumetinib,1.235,C,monocytes,139.06
129S1/SvImJ,m,SEL_69,1,selumetinib,11.111,D,monocytes,76.85
129S1/SvImJ,m,SEL_70,2,selumetinib,11.111,D,monocytes,128.69
129S1/SvImJ,m,SEL_71,3,selumetinib,11.111,D,monocytes,95.60
129S1/SvImJ,m,SEL_72,4,selumetinib,11.111,D,monocytes,124.57
129S1/SvImJ,m,SEL_77,1,selumetinib,100,E,monocytes,65.77
129S1/SvImJ,m,SEL_78,2,selumetinib,100,E,monocytes,88.35
129S1/SvImJ,m,SEL_79,3,selumetinib,100,E,monocytes,69.03
129S1/SvImJ,m,SEL_80,4,selumetinib,100,E,monocytes,68.04
129S1/SvImJ,m,SEL_81,1,selumetinib,0,ctrl,"T cells",97.88
129S1/SvImJ,m,SEL_82,2,selumetinib,0,ctrl,"T cells",97.77
129S1/SvImJ,m,SEL_83,3,selumetinib,0,ctrl,"T cells",100.56
129S1/SvImJ,m,SEL_84,4,selumetinib,0,ctrl,"T cells",103.79
129S1/SvImJ,m,SEL_89,1,selumetinib,0.046,A,"T cells",100.89
129S1/SvImJ,m,SEL_9,1,selumetinib,0.046,A,"B cells",98.78
129S1/SvImJ,m,SEL_90,2,selumetinib,0.046,A,"T cells",102.93
129S1/SvImJ,m,SEL_91,3,selumetinib,0.046,A,"T cells",102.07
129S1/SvImJ,m,SEL_92,4,selumetinib,0.046,A,"T cells",104.76
129S1/SvImJ,m,SEL_93,1,selumetinib,0.137,B,"T cells",103.25
129S1/SvImJ,m,SEL_94,2,selumetinib,0.137,B,"T cells",102.39
129S1/SvImJ,m,SEL_95,3,selumetinib,0.137,B,"T cells",107.56
129S1/SvImJ,m,SEL_96,4,selumetinib,0.137,B,"T cells",103.68
129X1/SvJ,m,BEZ_121,1,BEZ235,0,ctrl,"B cells",103.35
129X1/SvJ,m,BEZ_122,2,BEZ235,0,ctrl,"B cells",96.53
129X1/SvJ,m,BEZ_123,3,BEZ235,0,ctrl,"B cells",105.40
129X1/SvJ,m,BEZ_124,4,BEZ235,0,ctrl,"B cells",94.71
129X1/SvJ,m,BEZ_129,1,BEZ235,0.046,A,"B cells",90.62
129X1/SvJ,m,BEZ_130,2,BEZ235,0.046,A,"B cells",90.62
129X1/SvJ,m,BEZ_131,3,BEZ235,0.046,A,"B cells",100.74
129X1/SvJ,m,BEZ_132,4,BEZ235,0.046,A,"B cells",79.48
129X1/SvJ,m,BEZ_133,1,BEZ235,0.137,B,"B cells",99.26
129X1/SvJ,m,BEZ_134,2,BEZ235,0.137,B,"B cells",96.42
129X1/SvJ,m,BEZ_135,3,BEZ235,0.137,B,"B cells",104.38
129X1/SvJ,m,BEZ_136,4,BEZ235,0.137,B,"B cells",86.19
129X1/SvJ,m,BEZ_141,1,BEZ235,1.235,C,"B cells",80.27
129X1/SvJ,m,BEZ_142,2,BEZ235,1.235,C,"B cells",96.99
129X1/SvJ,m,BEZ_143,3,BEZ235,1.235,C,"B cells",94.71
129X1/SvJ,m,BEZ_144,4,BEZ235,1.235,C,"B cells",87.44
129X1/SvJ,m,BEZ_149,1,BEZ235,11.111,D,"B cells",75.27
129X1/SvJ,m,BEZ_150,2,BEZ235,11.111,D,"B cells",97.33
129X1/SvJ,m,BEZ_151,3,BEZ235,11.111,D,"B cells",87.21
129X1/SvJ,m,BEZ_152,4,BEZ235,11.111,D,"B cells",78.91
129X1/SvJ,m,BEZ_157,1,BEZ235,100,E,"B cells",78.34
129X1/SvJ,m,BEZ_158,2,BEZ235,100,E,"B cells",80.61
129X1/SvJ,m,BEZ_159,3,BEZ235,100,E,"B cells",97.10
129X1/SvJ,m,BEZ_160,4,BEZ235,100,E,"B cells",76.75
129X1/SvJ,m,BEZ_161,1,BEZ235,0,ctrl,monocytes,104.27
129X1/SvJ,m,BEZ_162,2,BEZ235,0,ctrl,monocytes,100.35
129X1/SvJ,m,BEZ_163,3,BEZ235,0,ctrl,monocytes,101.66
129X1/SvJ,m,BEZ_164,4,BEZ235,0,ctrl,monocytes,93.71
129X1/SvJ,m,BEZ_169,1,BEZ235,0.046,A,monocytes,96.44
129X1/SvJ,m,BEZ_170,2,BEZ235,0.046,A,monocytes,102.86
129X1/SvJ,m,BEZ_171,3,BEZ235,0.046,A,monocytes,106.12
129X1/SvJ,m,BEZ_172,4,BEZ235,0.046,A,monocytes,97.74
129X1/SvJ,m,BEZ_173,1,BEZ235,0.137,B,monocytes,99.48
129X1/SvJ,m,BEZ_174,2,BEZ235,0.137,B,monocytes,103.95
129X1/SvJ,m,BEZ_175,3,BEZ235,0.137,B,monocytes,103.51
129X1/SvJ,m,BEZ_176,4,BEZ235,0.137,B,monocytes,96.65
129X1/SvJ,m,BEZ_181,1,BEZ235,1.235,C,monocytes,99.37
129X1/SvJ,m,BEZ_182,2,BEZ235,1.235,C,monocytes,97.63
129X1/SvJ,m,BEZ_183,3,BEZ235,1.235,C,monocytes,101.12
129X1/SvJ,m,BEZ_184,4,BEZ235,1.235,C,monocytes,97.63
129X1/SvJ,m,BEZ_189,1,BEZ235,11.111,D,monocytes,74.88
129X1/SvJ,m,BEZ_190,2,BEZ235,11.111,D,monocytes,88.16
129X1/SvJ,m,BEZ_191,3,BEZ235,11.111,D,monocytes,87.40
129X1/SvJ,m,BEZ_192,4,BEZ235,11.111,D,monocytes,85.66
129X1/SvJ,m,BEZ_197,1,BEZ235,100,E,monocytes,38.53
129X1/SvJ,m,BEZ_198,2,BEZ235,100,E,monocytes,48.76
129X1/SvJ,m,BEZ_199,3,BEZ235,100,E,monocytes,58.99
129X1/SvJ,m,BEZ_200,4,BEZ235,100,E,monocytes,54.10
129X1/SvJ,m,BEZ_201,1,BEZ235,0,ctrl,"T cells",101.18
